producto_id,categoria,grupo_and,columna_dataset,condicion,tipo_regla,flujo,texto_original
AP-CHUBB-01,Personal y Familiar,1,RANGO_EDAD,18 a 65 años + 364 días,elegibilidad_dura,declaracion_directa,Ingreso 18 a 65 años + 364 días; permanencia hasta 69 años + 364 días (cobertura adicional de fracturas)
APDIG-CHUBB-01,Personal y Familiar,1,RANGO_EDAD,18 a 65 años + 364 días,elegibilidad_dura,declaracion_directa,Ingreso 18 a 65 años + 364 días; permanencia hasta 69 años + 364 días
ONCO-CHUBB-01,Personal y Familiar,1,RANGO_EDAD,18 a 64 años + 364 días,elegibilidad_dura,declaracion_directa,Ingreso 18 a 64 años + 364 días; permanencia hasta 65 años + 364 días
URB-CHUBB-01,Personal y Familiar,1,,condición de compra / medio de pago / establecimiento (no evaluable desde el dataset),elegibilidad_dura,declaracion_directa,"El bien debe cumplir reglas de compra/medio de pago/establecimiento definidas por el certificado (no es edad, es condición de compra)"
DEUDOR-VIDA-01,Crédito,1,RANGO_SALARIAL_LIMPIO,Entre 1.5 y 2 SMLV|Entre 2 y 2.5 SMLV|Entre 2.5 y 3 SMLV|Entre 3 y 4 SMLV|Entre 4 y 6 SMLV|Entre 6 y 8 SMLV|Entre 8 y 10 SMLV|Entre 10 y 20 SMLV|Entre 20 y 30 SMLV|Mayor a 30 SMLV,propension,ranking_propension,SI RANGO_SALARIAL sugiere capacidad de endeudamiento (ej. >1.5 SMLV) ENTONCES propensión a Vida Deudor
SALUD-01,Personal y Familiar,1,DROGUERIA,SI,propension,ranking_propension,SI DROGUERIA = SI ENTONCES propensión a Póliza de Salud
ASMED-01,Personal y Familiar,1,DROGUERIA,SI,propension,ranking_propension,"Resuelto (24 jul): se cae la condición de SEGMENTO_GRUPO_FAMILIAR. Queda solo: SI DROGUERIA = SI ENTONCES propensión a Asistencias médicas familiares — misma condición que SALUD-01, van a empatar cuando ambas apliquen"
VIDAAH-01,Personal y Familiar,1,RANGO_SALARIAL_LIMPIO,Entre 4 y 6 SMLV|Entre 6 y 8 SMLV,propension,ranking_propension,Resuelto (24 jul): SI RANGO_SALARIAL en tier Medio-alto (Entre 4 y 8 SMLV) Y RANGO_EDAD en 36-55 ENTONCES propensión a Vida y Ahorro
VIDAAH-01,Personal y Familiar,1,RANGO_EDAD,36 a 45 años|46 a 55 años,propension,ranking_propension,Resuelto (24 jul): SI RANGO_SALARIAL en tier Medio-alto (Entre 4 y 8 SMLV) Y RANGO_EDAD en 36-55 ENTONCES propensión a Vida y Ahorro
ASMULT-01,Personal y Familiar,1,RANGO_SALARIAL_LIMPIO,Menor al SMLV|Entre 1 y 1.5 SMLV|Entre 1.5 y 2 SMLV|Entre 2 y 2.5 SMLV|Entre 2.5 y 3 SMLV|Entre 3 y 4 SMLV,propension,ranking_propension,Resuelto (24 jul): SI RANGO_SALARIAL en tier Bajo o Medio (hasta 4 SMLV) ENTONCES propensión a Asistencias múltiples
APEXEQ-PAL-01,Personal y Familiar,1,RANGO_SALARIAL_LIMPIO,Menor al SMLV|Entre 1 y 1.5 SMLV,propension,ranking_propension,SI RANGO_SALARIAL bajo (Menor al SMLV a 1.5 SMLV) ENTONCES propensión a este producto económico
EXEQ-01,Personal y Familiar,1,RANGO_EDAD,Mayor de 55 años,propension,ranking_propension,"SI RANGO_EDAD = ""Mayor de 55 años"" ENTONCES propensión a Exequial"
HOGAR-01,Hogar,1,RANGO_SALARIAL_LIMPIO,Entre 4 y 6 SMLV|Entre 6 y 8 SMLV|Entre 8 y 10 SMLV|Entre 10 y 20 SMLV|Entre 20 y 30 SMLV|Mayor a 30 SMLV,propension,ranking_propension,Resuelto — precedencia explícita (24 jul): SI (RANGO_SALARIAL en tier Medio-alto o Alto Y CIUDAD_AFILIADO no nula) O VIVIENDA = SI ENTONCES propensión a Hogar
HOGAR-01,Hogar,1,CIUDAD_AFILIADO,NO_NULO,propension,ranking_propension,Resuelto — precedencia explícita (24 jul): SI (RANGO_SALARIAL en tier Medio-alto o Alto Y CIUDAD_AFILIADO no nula) O VIVIENDA = SI ENTONCES propensión a Hogar
HOGAR-01,Hogar,2,VIVIENDA,SI,propension,ranking_propension,Resuelto — precedencia explícita (24 jul): SI (RANGO_SALARIAL en tier Medio-alto o Alto Y CIUDAD_AFILIADO no nula) O VIVIENDA = SI ENTONCES propensión a Hogar
