producto_id,categoria,nombre_producto,aseguradora,estado_aseguradora,perfil_objetivo,elegibilidad,estado_elegibilidad,precio,estado_precio,exclusiones,estado_exclusiones
VIDA-01,Personal y Familiar,Seguro de vida Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Personas con dependientes o que desean proteger el ingreso familiar ante fallecimiento.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 12.000 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
VIDAAH-01,Personal y Familiar,Seguro de vida con ahorro,MetLife publica un convenio Colsubsidio con producto de vida con ahorro; debe confirmarse el plan exacto vigente.,verificado,Personas que buscan protección familiar y ahorro disciplinado de mediano/largo plazo.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 20.000 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
EXEQ-01,Personal y Familiar,Seguro o asistencia exequial Colsubsidio,Grupo Recordar aparece como aliado/canal de atención del producto público.,verificado,Familias que desean evitar el impacto financiero y logístico de un fallecimiento.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 26.000 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
AP-CHUBB-01,Personal y Familiar,Seguro colectivo de accidentes personales Colsubsidio - Chubb,Chubb Seguros Colombia S.A.,verificado,"Personas que buscan protección económica ante accidente, incapacidad, fractura u otros eventos accidentales.",Para cobertura adicional de fracturas: ingreso 18 a 65 años + 364 días y permanencia hasta 69 años + 364 días. Otras coberturas pueden variar.,verificado,La prima figura en el certificado; puede ajustarse anualmente por IPC y la aseguradora puede modificarla con aviso.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
APDIG-CHUBB-01,Personal y Familiar,Accidentes personales ventas digitales - Chubb/Colsubsidio,Chubb Seguros Colombia S.A.,verificado,Usuario digital que busca protección sencilla y contratación autogestionada.,Coberturas particulares: ingreso 18 a 65 años + 364 días y permanencia hasta 69 años + 364 días.,verificado,Prima en certificado y posible ajuste por IPC.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
APEXEQ-PAL-01,Personal y Familiar,Accidentes personales con servicio exequial,Pan-American Life Insurance Group aparece como aliado del producto público.,verificado,Personas sensibles al precio que buscan protección básica por accidente y apoyo funerario.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Publicado desde COP 14.000 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
ONCO-CHUBB-01,Personal y Familiar,Producto Oncológico Chubb - Convenio Colsubsidio,Chubb Seguros Colombia S.A.,verificado,Adultos que buscan respaldo económico ante primer diagnóstico de cáncer y protección de vida.,Ingreso de 18 a 64 años + 364 días; permanencia hasta 65 años + 364 días.,verificado,"Prima en el certificado; puede ser anual, semestral, trimestral, mensual o única.",verificado,"Cáncer preexistente; para vida básica, suicidio durante los primeros 12 meses; demás exclusiones del clausulado/certificado.",verificado
URB-CHUBB-01,Personal y Familiar,Producto Protección Urbana Chubb - Convenio Colsubsidio,Chubb Seguros Colombia S.A.,verificado,Personas que desean proteger bienes adquiridos mediante el medio/establecimiento definido en el certificado.,"El bien debe cumplir las reglas de compra, medio de pago y establecimiento definidas por el producto/certificado.",verificado,Prima indicada en el certificado; debe pagarse en el plazo allí definido.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
SALUD-01,Personal y Familiar,Póliza de salud Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Personas que buscan complementar la atención de salud con acceso preferencial a clínicas y especialistas.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
ASMED-01,Personal y Familiar,Asistencias médicas familiares,GEA aparece como aliado/prestador en la información pública.,verificado,Familias que buscan orientación y acceso rápido a servicios médicos básicos/especializados.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 16.800 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
